basis_num,mse_dnn_default,mse_pde_basis
100,0.0006673639381798972,0.00022285546556136368
200,7.2834969234188e-05,9.716103851610358e-07
300,3.970945142244277e-05,9.023021813915604e-08
400,2.867800622321893e-05,3.353325661484381e-10
500,2.5869104894795092e-05,8.91101845334246e-12
600,2.393118666415346e-05,3.368167235909367e-12
700,2.0657411677667662e-05,1.2259857478591372e-14
800,2.4701565954702617e-05,2.2734901834078264e-15
900,1.4998999858924487e-05,6.661917828003568e-16
1000,2.1665994486852755e-05,1.7067277986920616e-16
