basis_num,mse_dnn_default,mse_pde_basis
100,0.029357471839495716,0.014040801365502844
200,7.29754926067138e-07,1.2905692093521885e-10
300,3.509464689435558e-08,5.210905734345843e-13
400,1.782524104600083e-08,1.1181367823796728e-14
500,5.717278680103315e-09,8.699899299176667e-16
600,8.450220644235358e-10,2.1960675891439035e-16
700,9.02157744496165e-08,1.1831882838641006e-17
800,5.571055677954971e-08,1.848707738189021e-17
900,2.2722905382963063e-10,8.113200501169582e-18
1000,2.436287549143964e-08,7.145011411527877e-18
