basis_num,mse_dnn_default,mse_pde_basis
100,0.026974353286509063,0.08381510488741713
200,4.51194130169956e-07,1.1266421991178964e-06
300,8.609408858620231e-09,1.5767876145413283e-10
400,2.9914824266552716e-09,3.2127537656045362e-12
500,4.113563677158355e-10,6.188656106541001e-14
600,4.547186496989834e-10,2.843627830838938e-15
700,1.4771716443974974e-10,1.0070196490845295e-15
800,8.710035945522426e-10,6.494022757512819e-17
900,1.6323293330019177e-10,2.0560346093303025e-17
1000,1.6883050864133645e-10,1.5041502076838585e-18
