basis_num,mse_dnn_default,mse_pde_basis
100,0.012175285825363157,0.029721301317806592
200,2.87177803258342e-07,9.059010388821345e-08
300,2.098871934548207e-10,1.805833291744348e-11
400,5.57144313649323e-11,8.874105600426179e-14
500,3.3702661733355275e-11,7.448367807973984e-16
600,3.2588142789323403e-12,1.0092863766102121e-16
700,2.3086965065487934e-12,8.246834023625139e-16
800,2.051893193350437e-12,9.38044708979996e-17
900,1.197620048056671e-12,1.1828705186658975e-18
1000,8.537797297568985e-13,2.6681010471565975e-19
