basis_num,mse_dnn_default,mse_pde_basis
100,2.4340161631769086,0.9825479405236752
200,1.937611109031933e-05,2.3922777988779602e-05
300,3.1201019118187915e-08,5.221656799804902e-10
400,2.9275302711719932e-09,3.036063882360897e-10
500,4.284582714060253e-09,3.5522538234899977e-13
600,3.1701527506518194e-10,1.468700461228824e-14
700,3.8886551683260474e-10,2.903064802709178e-14
800,3.594466277168131e-10,1.8842455749942108e-15
900,8.071279129286641e-10,2.1177402636933733e-16
1000,3.093671474060596e-10,4.9209100048034484e-17
