basis_num,mse_dnn_default,mse_pde_basis
100,0.0070364762244354475,0.005932076002849186
200,9.103079885043767e-09,5.22881018692402e-08
300,2.3930231944847942e-09,3.795239208909286e-12
400,1.697496769719094e-11,1.7206259177482695e-13
500,1.2038904509122709e-11,6.401636753734993e-16
600,1.577008090308576e-12,5.737390640374895e-17
700,3.4055573120035486e-12,1.2609540455019209e-16
800,2.2212934216458445e-12,7.277041688327313e-17
900,7.927662794811295e-13,2.173662978797046e-18
1000,1.5091117159306748e-12,2.661835664046558e-18
